"","Name","Description"
"16609","ENSG00000130158.9","DOCK6"
"16770","ENSG00000130307.7","USHBP1"
"16907","ENSG00000121289.13","CEP89"
"16941","ENSG00000105699.12","LSR"
"17011","ENSG00000189164.10","ZNF527"
"17066","ENSG00000090924.10","PLEKHG2"
"17094","ENSG00000105227.10","PRX"
"17333","ENSG00000105538.4","RASIP1"
"17362","ENSG00000130529.11","TRPM4"
"17754","ENSG00000132622.6","HSPA12B"
"17893","ENSG00000101331.11","CCM2L"
"17987","ENSG00000198959.7","TGM2"
"18130","ENSG00000087589.12","CASS4"
"18142","ENSG00000124253.9","PCK1"
"18178","ENSG00000130702.9","LAMA5"
"18257","ENSG00000166265.7","CYYR1"
"18363","ENSG00000157554.14","ERG"
"18383","ENSG00000157617.12","C2CD2"
"18502","ENSG00000184113.8","CLDN5"
"18581","ENSG00000099998.13","GGT5"
"18603","ENSG00000128294.11","TPST2"
"18648","ENSG00000185339.4","TCN2"
"18692","ENSG00000128284.15","APOL3"
"18696","ENSG00000100345.16","MYH9"
"18717","ENSG00000100065.10","CARD10"
"18993","ENSG00000102098.13","SCML2"
"19082","ENSG00000147113.12","CXorf36"
"19115","ENSG00000017483.10","SLC38A5"
"19253","ENSG00000130052.9","STARD8"
"19325","ENSG00000078596.6","ITM2A"
"19430","ENSG00000157514.12","TSC22D3"
"19583","ENSG00000156925.7","ZIC3"
