,description,mse,rsq,after_lasso_mse,after_lasso_rsq,xgb_corr_mse,xgb_corr_rsq
1,MEdarkolivegreen,0.447591318,0.481486691,0.448257083,0.480715434,0.445930174,0.483411048
2,MEivory,0.532017623,0.226783263,0.533010137,0.225340776,0.534367489,0.223368045
