"","Name","Description"
"4390","ENSG00000168884.10","TNIP2"
"4424","ENSG00000163993.6","S100P"
"4425","ENSG00000178988.10","MRFAP1L1"
"4437","ENSG00000125089.12","SH3TC1"
"4469","ENSG00000071127.12","WDR1"
"4490","ENSG00000002549.8","LAP3"
"4522","ENSG00000181826.5","RELL1"
"4678","ENSG00000169429.6","IL8"
"4681","ENSG00000163739.4","CXCL1"
"4686","ENSG00000081041.8","CXCL2"
"4724","ENSG00000163291.10","PAQR3"
"4778","ENSG00000180346.2","TIGD2"
"4818","ENSG00000109320.7","NFKB1"
"4860","ENSG00000145365.10","TIFA"
"4875","ENSG00000150961.10","SEC24D"
"4922","ENSG00000151014.4","CCRN4L"
"4938","ENSG00000109445.6","ZNF330"
"5185","ENSG00000113407.9","TARS"
"5216","ENSG00000145623.8","OSMR"
"5355","ENSG00000164338.5","UTP15"
"5429","ENSG00000113369.4","ARRDC3"
"5445","ENSG00000118985.10","ELL2"
"5494","ENSG00000243414.4","TICAM2"
"5503","ENSG00000169570.5","DTWD2"
"5525","ENSG00000113368.7","LMNB1"
"5546","ENSG00000131435.8","PDLIM4"
"5550","ENSG00000125347.9","IRF1"
"5564","ENSG00000170606.9","HSPA4"
"5576","ENSG00000113615.8","SEC24A"
"5593","ENSG00000120708.12","TGFBI"
"5612","ENSG00000120738.7","EGR1"
"5614","ENSG00000113013.8","HSPA9"
"5625","ENSG00000249751.1","ECSCR"
"5639","ENSG00000213523.5","SRA1"
"5684","ENSG00000178913.5","TAF7"
"5760","ENSG00000155850.7","SLC26A2"
"5796","ENSG00000037749.7","MFAP3"
"5856","ENSG00000043462.7","LCP2"
"5867","ENSG00000072786.8","STK10"
"5907","ENSG00000160883.6","HK3"
"5942","ENSG00000198939.3","ZFP2"
"5945","ENSG00000234284.2","ZNF879"
"5953","ENSG00000127022.10","CANX"
"5956","ENSG00000161011.15","SQSTM1"
"5992","ENSG00000021355.8","SERPINB1"
"5993","ENSG00000170542.5","SERPINB9"
"5996","ENSG00000137275.9","RIPK1"
"6002","ENSG00000168994.9","PXDC1"
"6042","ENSG00000111859.12","NEDD9"
"6228","ENSG00000146112.7","PPP1R18"
"6233","ENSG00000137331.11","IER3"
"6252","ENSG00000204516.5","MICB"
"6268","ENSG00000204435.9","CSNK2B"
"6278","ENSG00000213719.4","CLIC1"
"6284","ENSG00000204390.8","HSPA1L"
"6285","ENSG00000204389.8","HSPA1A"
"6286","ENSG00000204388.5","HSPA1B"
"6301","ENSG00000231852.2","CYP21A2"
"6324","ENSG00000204267.9","TAP2"
"6326","ENSG00000168394.9","TAP1"
"6341","ENSG00000235863.2","B3GALT4"
"6355","ENSG00000096433.6","ITPR3"
"6380","ENSG00000007866.14","TEAD3"
"6382","ENSG00000096060.10","FKBP5"
"6395","ENSG00000010030.9","ETV7"
"6400","ENSG00000124762.9","CDKN1A"
"6409","ENSG00000137193.9","PIM1"
"6604","ENSG00000164430.11","MB21D1"
"6633","ENSG00000013375.11","PGM3"
"6702","ENSG00000057657.10","PRDM1"
"6741","ENSG00000056972.14","TRAF3IP2"
"6763","ENSG00000153975.5","ZUFSP"
"6854","ENSG00000118503.10","TNFAIP3"
"6883","ENSG00000135604.9","STX11"
"6913","ENSG00000120278.10","PLEKHG1"
"6916","ENSG00000181472.4","ZBTB2"
"6953","ENSG00000112096.12","SOD2"
"6956","ENSG00000120438.7","TCP1"
"6957","ENSG00000112110.5","MRPL18"
"6960","ENSG00000197081.8","IGF2R"
"7021","ENSG00000178381.7","ZFAND2A"
"7051","ENSG00000146587.13","RBAK"
"7063","ENSG00000106305.5","AIMP2"
"7071","ENSG00000136240.5","KDELR2"
"7179","ENSG00000106100.6","NOD1"
"7256","ENSG00000136286.10","MYO1G"
"7273","ENSG00000183696.9","UPP1"
"7318","ENSG00000169902.9","TPST1"
"7373","ENSG00000106211.8","HSPB1"
"7542","ENSG00000106366.7","SERPINE1"
"7569","ENSG00000128606.8","LRRC17"
"7587","ENSG00000105835.7","NAMPT"
"7605","ENSG00000128590.4","DNAJB9"
